"gene","module","moduleLabel"
"TMEM185B",3,"brown"
"MMP1",1,"turquoise"
"RPS11",1,"turquoise"
"WDR45",1,"turquoise"
"GPR113",1,"turquoise"
"PSPH",1,"turquoise"
"TMPO",1,"turquoise"
"PRICKLE1",2,"blue"
"TBCCD1",1,"turquoise"
"SMYD2",3,"brown"
"CRLF1",1,"turquoise"
"SLU7",6,"red"
"SLC12A7",1,"turquoise"
"CEP192",1,"turquoise"
"KPNA3",2,"blue"
"ST8SIA1",1,"turquoise"
"TAS2R43",1,"turquoise"
"APOD",1,"turquoise"
"EPHA4",2,"blue"
"PLA2G12B",1,"turquoise"
"AGXT",1,"turquoise"
"WDR41",6,"red"
"FBXO5",2,"blue"
"P2RX7",2,"blue"
"PROC",1,"turquoise"
"ATP12A",1,"turquoise"
"KLHL15",1,"turquoise"
"RIPK4",1,"turquoise"
"UHRF1",1,"turquoise"
"MAPRE1",1,"turquoise"
"EXOSC10",1,"turquoise"
"ADCY8",1,"turquoise"
"SLCO4C1",3,"brown"
"PIAS4",3,"brown"
"TNFSF8",0,"grey"
"CHD6",2,"blue"
"ZNF586",3,"brown"
"SOAT1",2,"blue"
"PIP5KL1",1,"turquoise"
"EDAR",1,"turquoise"
"MFSD5",2,"blue"
"ELF4",2,"blue"
"KCNG2",1,"turquoise"
"LYPLAL1",1,"turquoise"
"CGRRF1",1,"turquoise"
"TCEAL2",1,"turquoise"
"NPHP3",4,"yellow"
"ZNF808",1,"turquoise"
"CDC42EP3",3,"brown"
"PLOD2",1,"turquoise"
"ABCC5",3,"brown"
"NAPA",1,"turquoise"
"TMEM43",6,"red"
"EMP3",2,"blue"
"TARDBP",2,"blue"
"GDF2",1,"turquoise"
"APP",1,"turquoise"
"TRIM38",0,"grey"
"HIVEP3",1,"turquoise"
"RAB3GAP1",2,"blue"
"CYP4F12",1,"turquoise"
"OLFM1",1,"turquoise"
"WDR37",1,"turquoise"
"CMAS",2,"blue"
"SNX4",1,"turquoise"
"SUPT5H",2,"blue"
"SSR2",5,"green"
"LACTB",4,"yellow"
"NUDT18",0,"grey"
"RHBDL2",2,"blue"
"HHLA3",1,"turquoise"
"TRAPPC3",7,"black"
"IL16",2,"blue"
"MORC3",0,"grey"
"TPP2",2,"blue"
"CHST3",1,"turquoise"
"STUB1",2,"blue"
"SLC35E3",6,"red"
"PGK1",1,"turquoise"
"ARL4C",2,"blue"
"BRAF",1,"turquoise"
"STRBP",2,"blue"
"SLC17A5",1,"turquoise"
"MYO9B",3,"brown"
"INSIG2",0,"grey"
"TCF7",1,"turquoise"
"VCP",3,"brown"
"DENND1C",1,"turquoise"
"PIGW",1,"turquoise"
"VRK2",2,"blue"
"LDHA",1,"turquoise"
"SPHK1",1,"turquoise"
"OSBPL1A",1,"turquoise"
"MRPL47",2,"blue"
"UNKL",1,"turquoise"
"TRRAP",4,"yellow"
"MRPS6",5,"green"
"GPR176",1,"turquoise"
"KIAA0319",1,"turquoise"
"MYOM3",1,"turquoise"
"PON2",1,"turquoise"
"GAS2L1",1,"turquoise"
"SEC61A1",7,"black"
"PLCH2",4,"yellow"
"FAM19A2",1,"turquoise"
"PPP1R3D",3,"brown"
"AKAP13",3,"brown"
"UBE2V2",1,"turquoise"
"RSBN1",1,"turquoise"
"MAP2K4",3,"brown"
"KLHDC7B",1,"turquoise"
"PRDM8",1,"turquoise"
"CD200",1,"turquoise"
"GCKR",1,"turquoise"
"KLF2",3,"brown"
"PHB2",1,"turquoise"
"ST6GAL1",1,"turquoise"
"KLHL11",1,"turquoise"
"ZNF226",2,"blue"
"SMG7",1,"turquoise"
"ADARB2",1,"turquoise"
"USP31",1,"turquoise"
"H2AFY",3,"brown"
"CLK3",1,"turquoise"
"MGC50722",1,"turquoise"
"GPNMB",1,"turquoise"
"OXER1",1,"turquoise"
"SAMD12",1,"turquoise"
"GPKOW",2,"blue"
"DDX5",1,"turquoise"
"APEX2",0,"grey"
"SMURF2",1,"turquoise"
"HIST1H4D",1,"turquoise"
"DHRS1",2,"blue"
"RXRB",7,"black"
"NAP1L4",2,"blue"
"RUFY1",1,"turquoise"
"NSFL1C",3,"brown"
"PI4K2B",2,"blue"
"TRIT1",1,"turquoise"
"ZNF300",1,"turquoise"
"RAB1B",5,"green"
"IL5RA",1,"turquoise"
"TOMM70A",1,"turquoise"
"DHRSX",1,"turquoise"
"USP3",6,"red"
"UBQLN4",4,"yellow"
"NECAP1",1,"turquoise"
"PRSS27",1,"turquoise"
"POU2F2",1,"turquoise"
"UBE2B",2,"blue"
"IVNS1ABP",3,"brown"
"CPA5",1,"turquoise"
"COL5A3",1,"turquoise"
"MPV17",2,"blue"
"BRIP1",1,"turquoise"
"LSAMP",1,"turquoise"
"HIST1H1D",1,"turquoise"
"INSM1",2,"blue"
"LAT2",3,"brown"
"TBC1D16",1,"turquoise"
"CPNE1",2,"blue"
"B2M",2,"blue"
"WDFY2",2,"blue"
"STK11",1,"turquoise"
"TAAR8",1,"turquoise"
"MRPL46",5,"green"
"RBP2",1,"turquoise"
"MRPL51",1,"turquoise"
"RNF20",2,"blue"
"DNAH7",1,"turquoise"
"CDKN3",1,"turquoise"
"RELB",1,"turquoise"
"FOSL2",4,"yellow"
"CRELD2",4,"yellow"
"GPR82",1,"turquoise"
"SLC7A1",2,"blue"
"ZNF567",2,"blue"
"KPNA4",6,"red"
"BTBD10",2,"blue"
"GIMAP6",2,"blue"
"GATAD2B",0,"grey"
"AKR1A1",2,"blue"
"ATP13A1",7,"black"
"TRIM26",2,"blue"
"AIM1",2,"blue"
"KCNE1",1,"turquoise"
"LRP12",1,"turquoise"
"RPA3",5,"green"
"GSTO1",0,"grey"
"FBXO16",1,"turquoise"
"RHEB",1,"turquoise"
"HLA-E",3,"brown"
"SRP54",1,"turquoise"
"ZNF689",7,"black"
"RAPGEF1",1,"turquoise"
"CTNNA2",1,"turquoise"
"NOTCH2NL",1,"turquoise"
"MAF",3,"brown"
"LYSMD4",7,"black"
"LECT2",1,"turquoise"
"RPS29",5,"green"
"NR3C2",4,"yellow"
"TAGLN",1,"turquoise"
"EDA2R",1,"turquoise"
"COPS3",2,"blue"
"CDC16",1,"turquoise"
"POLR3GL",1,"turquoise"
"CRIPT",6,"red"
"TTYH3",0,"grey"
"STATH",1,"turquoise"
"ABCG2",1,"turquoise"
"REEP1",1,"turquoise"
"MUT",2,"blue"
"GLDC",1,"turquoise"
"WDR61",4,"yellow"
"UBE2D3",1,"turquoise"
"AVIL",1,"turquoise"
"CHAC2",1,"turquoise"
"ZNF507",1,"turquoise"
"FUT4",0,"grey"
"TSPAN3",4,"yellow"
"SLC8A2",1,"turquoise"
"H1FX",0,"grey"
"GCNT1",1,"turquoise"
"TSPYL2",1,"turquoise"
"CBX7",1,"turquoise"
"SNHG3",1,"turquoise"
"FYN",1,"turquoise"
"SLCO4A1",1,"turquoise"
"NFIB",1,"turquoise"
"RNF146",6,"red"
"NR1H3",1,"turquoise"
"SIRPD",1,"turquoise"
"SPRR2B",1,"turquoise"
"NUPL2",5,"green"
"POLK",2,"blue"
"APBB3",2,"blue"
"PDGFC",1,"turquoise"
"PCYT1B",1,"turquoise"
"NAT10",4,"yellow"
"DBN1",1,"turquoise"
"TPX2",1,"turquoise"
"AATF",2,"blue"
"ADAM23",1,"turquoise"
"ANK1",1,"turquoise"
"VAV3",3,"brown"
"PIM3",1,"turquoise"
"MXD3",1,"turquoise"
"HIST1H3I",1,"turquoise"
"RNMTL1",7,"black"
"SERTAD2",2,"blue"
"WBP11",1,"turquoise"
"FBXL4",1,"turquoise"
"CREB5",1,"turquoise"
"COLQ",1,"turquoise"
"SFRP2",1,"turquoise"
"GNAL",1,"turquoise"
"NEDD9",1,"turquoise"
"PPP1R9B",1,"turquoise"
"KIAA0907",1,"turquoise"
"FZD6",1,"turquoise"
"IGHMBP2",1,"turquoise"
"JARID2",3,"brown"
"DNAJB4",1,"turquoise"
"ARPC5L",4,"yellow"
"TJP3",2,"blue"
"MAZ",1,"turquoise"
"NMT2",2,"blue"
"BSCL2",1,"turquoise"
"SFTPD",1,"turquoise"
"XPNPEP3",2,"blue"
"CTNND1",1,"turquoise"
"APOBEC3G",1,"turquoise"
"PIP5K1A",1,"turquoise"
"PTPRM",1,"turquoise"
"RNASE1",1,"turquoise"
"PRDM9",1,"turquoise"
"MAP2K1",1,"turquoise"
"ENPP5",1,"turquoise"
"HIST1H2AM",1,"turquoise"
"MELK",1,"turquoise"
"RANBP6",2,"blue"
"AMIGO2",1,"turquoise"
"GSTA1",1,"turquoise"
"PLXDC1",1,"turquoise"
"MYL6",1,"turquoise"
"CES2",2,"blue"
"HAPLN2",1,"turquoise"
"ATXN7",1,"turquoise"
"NUDT14",4,"yellow"
"TP53",1,"turquoise"
"ZNF350",2,"blue"
"SMARCD3",1,"turquoise"
"KCNJ16",1,"turquoise"
"SNRPE",1,"turquoise"
"SLC35A5",6,"red"
"VHL",1,"turquoise"
"LILRA4",1,"turquoise"
"SIRPG",4,"yellow"
"CHD4",3,"brown"
"PIGQ",1,"turquoise"
"MALT1",2,"blue"
"TAPBPL",0,"grey"
"CKB",1,"turquoise"
"GDF15",1,"turquoise"
"RPL13",3,"brown"
"SCN1B",1,"turquoise"
"RRAGC",3,"brown"
"BTF3",2,"blue"
"PURG",1,"turquoise"
"IAH1",5,"green"
"DKC1",4,"yellow"
"IRGQ",1,"turquoise"
"SLC2A1",2,"blue"
"CAMK2N1",2,"blue"
"SLC5A3",1,"turquoise"
"LY6G6D",1,"turquoise"
"GLS",1,"turquoise"
"GOT2",2,"blue"
"VPS8",3,"brown"
"ERGIC3",2,"blue"
"APH1A",2,"blue"
"LZTR1",4,"yellow"
"RPS27A",1,"turquoise"
"MALAT1",1,"turquoise"
"AKNA",0,"grey"
"TOLLIP",1,"turquoise"
"ITGAL",0,"grey"
"PDIA3",1,"turquoise"
"ZBTB33",1,"turquoise"
"HOXA1",1,"turquoise"
"CCDC53",1,"turquoise"
"MCM5",2,"blue"
"SCYL2",6,"red"
"GNA14",1,"turquoise"
"PVRL2",1,"turquoise"
"CDH11",1,"turquoise"
"ERAL1",0,"grey"
"TMEM5",5,"green"
"METTL7B",1,"turquoise"
"USP5",0,"grey"
"TRPM4",1,"turquoise"
"KIAA0391",1,"turquoise"
"CD177",1,"turquoise"
"ITFG1",1,"turquoise"
"RCN1",1,"turquoise"
"SLC41A3",7,"black"
"RAB20",1,"turquoise"
"CD3EAP",1,"turquoise"
"DSP",1,"turquoise"
"CCL7",1,"turquoise"
"TARS",2,"blue"
"MLKL",3,"brown"
"IRF4",2,"blue"
"ACVR1",1,"turquoise"
"RPS19",2,"blue"
"CASP1",3,"brown"
"SLC6A4",1,"turquoise"
"TSPAN31",5,"green"
"GPR63",1,"turquoise"
"OBFC1",2,"blue"
"SS18",1,"turquoise"
"MAPRE2",2,"blue"
"DNAJC5",3,"brown"
"PHPT1",1,"turquoise"
"DIAPH2",0,"grey"
"CFH",1,"turquoise"
"RBM5",1,"turquoise"
"ACVR1C",1,"turquoise"
"ZDHHC11",1,"turquoise"
"RFWD2",3,"brown"
"GCLC",2,"blue"
"CCNDBP1",1,"turquoise"
"UBE2C",1,"turquoise"
"SEC14L2",1,"turquoise"
"CAST",4,"yellow"
"ST8SIA4",3,"brown"
"ZNF140",2,"blue"
"AMDHD2",1,"turquoise"
"FAM83A",1,"turquoise"
"ELAVL3",1,"turquoise"
"NTNG2",1,"turquoise"
"STK38",2,"blue"
"PNRC1",1,"turquoise"
"RRS1",2,"blue"
"HSD11B1",1,"turquoise"
"RABAC1",2,"blue"
"FOLH1",1,"turquoise"
"SAMD3",4,"yellow"
"MPP7",1,"turquoise"
"TRIM16L",1,"turquoise"
"FOXJ2",2,"blue"
"HIST1H2AJ",1,"turquoise"
"ALOXE3",1,"turquoise"
"MAP1LC3C",1,"turquoise"
"ZNF264",0,"grey"
"KCNMB1",7,"black"
"PGM2L1",2,"blue"
"ESCO1",2,"blue"
"ADAM29",1,"turquoise"
"GTF2A2",1,"turquoise"
"ZWINT",1,"turquoise"
"VPS35",1,"turquoise"
"DLL1",1,"turquoise"
"JSRP1",1,"turquoise"
"HSPA14",1,"turquoise"
"MRPL41",4,"yellow"
"HERC2P2",1,"turquoise"
"VAPB",1,"turquoise"
"CALM2",2,"blue"
"KRT9",2,"blue"
"IER2",1,"turquoise"
"TNIK",4,"yellow"
"UNC13D",1,"turquoise"
"TMED8",1,"turquoise"
"CCDC64",1,"turquoise"
"CYP2B6",1,"turquoise"
"KRT86",1,"turquoise"
"GORASP2",2,"blue"
"PPM1E",1,"turquoise"
"BZRAP1",1,"turquoise"
"CEP55",1,"turquoise"
"SLC6A12",1,"turquoise"
"TSSC1",2,"blue"
"C1QL1",1,"turquoise"
"EXOSC1",5,"green"
"COMMD9",2,"blue"
"PCBP2",1,"turquoise"
"SPINT2",2,"blue"
"OR10H1",1,"turquoise"
"HEXB",2,"blue"
"MMP28",1,"turquoise"
"ABCC6",1,"turquoise"
"TCF15",1,"turquoise"
"FN3K",1,"turquoise"
"NMUR1",0,"grey"
"DEFB107A",1,"turquoise"
"SERPINE1",1,"turquoise"
"UQCRFS1",5,"green"
"RGS9",1,"turquoise"
"CXCL6",1,"turquoise"
"GSN",1,"turquoise"
"TBX15",1,"turquoise"
"CD274",1,"turquoise"
"IRS4",1,"turquoise"
"TMEM173",1,"turquoise"
"ZBTB41",1,"turquoise"
"TRAPPC1",0,"grey"
"DSCR8",1,"turquoise"
"LY6G5C",1,"turquoise"
"EP300",0,"grey"
"CTCF",2,"blue"
"TRHDE",1,"turquoise"
"IFRD2",1,"turquoise"
"RBBP5",3,"brown"
"PSMB10",2,"blue"
"ZNF367",1,"turquoise"
"BID",1,"turquoise"
"YPEL1",2,"blue"
"SCRN2",1,"turquoise"
"UNC50",1,"turquoise"
"TGIF1",1,"turquoise"
"TRIM34",1,"turquoise"
"FABP5",1,"turquoise"
"PHKG1",1,"turquoise"
"PANX3",1,"turquoise"
"SLC29A1",1,"turquoise"
"PSMD7",2,"blue"
"PHACTR2",2,"blue"
"TBPL1",6,"red"
"TTTY11",1,"turquoise"
"LOXL3",1,"turquoise"
"CD300LB",1,"turquoise"
"STIP1",2,"blue"
"THBS3",2,"blue"
"PTPRS",1,"turquoise"
"PPARD",1,"turquoise"
"PPM1B",1,"turquoise"
"GTF2F2",1,"turquoise"
"KRT5",1,"turquoise"
"ACACB",7,"black"
"TPI1",0,"grey"
"GLYATL1",1,"turquoise"
"MEST",1,"turquoise"
"CCL8",1,"turquoise"
"LOR",1,"turquoise"
"NUP37",5,"green"
"REXO4",7,"black"
"MGST2",0,"grey"
"XPC",0,"grey"
"SLC25A20",2,"blue"
"SOHLH2",1,"turquoise"
"ARHGAP5",1,"turquoise"
"SLC25A36",2,"blue"
"RNF166",2,"blue"
"TFE3",5,"green"
"GALNTL5",1,"turquoise"
"LCORL",1,"turquoise"
"MON1B",2,"blue"
"SERPINB12",1,"turquoise"
"FEZ1",1,"turquoise"
"CCDC71",1,"turquoise"
"LDLRAD3",1,"turquoise"
"ARHGEF6",2,"blue"
"EXOSC7",4,"yellow"
"COL23A1",1,"turquoise"
"SFTPC",1,"turquoise"
"WDR36",2,"blue"
"DNAJB6",3,"brown"
"CPXM2",1,"turquoise"
"SOX21",1,"turquoise"
"GNPDA2",2,"blue"
"CAGE1",1,"turquoise"
"FAM50A",7,"black"
"AGMAT",2,"blue"
"PPP1CC",1,"turquoise"
"SLC25A5",1,"turquoise"
"RAB13",1,"turquoise"
"ARID5A",1,"turquoise"
"HRSP12",2,"blue"
"ABCA4",1,"turquoise"
"ST13",0,"grey"
"CCRN4L",1,"turquoise"
"HMX2",1,"turquoise"
"ARPC3",3,"brown"
"GAD2",1,"turquoise"
"LILRB4",1,"turquoise"
"KLF10",1,"turquoise"
"CRK",3,"brown"
"ZCCHC9",1,"turquoise"
"LTBR",3,"brown"
"NPEPL1",3,"brown"
"SAMM50",2,"blue"
"PDPK1",3,"brown"
"MAP3K15",1,"turquoise"
"HIC1",1,"turquoise"
"ADAM6",1,"turquoise"
"DBT",5,"green"
"CDAN1",2,"blue"
"COX6C",2,"blue"
"PPAP2B",1,"turquoise"
"CXCL9",1,"turquoise"
"BMP2",1,"turquoise"
"AQP2",1,"turquoise"
"HM13",1,"turquoise"
"DDX23",2,"blue"
"EFNB2",2,"blue"
"KCNS2",1,"turquoise"
"KLHDC7A",1,"turquoise"
"ELOVL6",0,"grey"
"PRAME",1,"turquoise"
"GHR",1,"turquoise"
"TRIM6",1,"turquoise"
"ATF7IP2",2,"blue"
"CRTAM",1,"turquoise"
"SLC32A1",1,"turquoise"
"ABCB1",0,"grey"
"PDCD2",5,"green"
"FGD6",1,"turquoise"
"SCML2",1,"turquoise"
"SPPL2A",6,"red"
"NUFIP2",2,"blue"
"CYSLTR1",8,"pink"
"MAFK",1,"turquoise"
"HTATIP2",3,"brown"
"MYCBP2",1,"turquoise"
"LILRB5",1,"turquoise"
"PRR13",3,"brown"
"WFDC1",1,"turquoise"
"TMEM119",1,"turquoise"
"SCT",1,"turquoise"
"CRTAP",5,"green"
"NKX2-3",1,"turquoise"
"HIP1R",1,"turquoise"
"PANK2",8,"pink"
"GFM2",1,"turquoise"
"KCNK7",1,"turquoise"
"PGLS",0,"grey"
"POLR2F",5,"green"
"TRIP10",1,"turquoise"
"CSK",0,"grey"
"PIM2",2,"blue"
"ALKBH7",2,"blue"
"CYB5D1",2,"blue"
"ZNF593",5,"green"
"CD53",2,"blue"
"CYFIP1",1,"turquoise"
"ZNF563",2,"blue"
"WDR5B",1,"turquoise"
"CD44",1,"turquoise"
"PIAS1",3,"brown"
"RSPRY1",2,"blue"
"MIA3",1,"turquoise"
"LAMB4",1,"turquoise"
"RICTOR",2,"blue"
"OAZ1",1,"turquoise"
"KRT7",1,"turquoise"
"INPP5A",3,"brown"
"OR5I1",1,"turquoise"
"CYP26B1",1,"turquoise"
"TMEM99",4,"yellow"
"JOSD2",1,"turquoise"
"ZDHHC1",1,"turquoise"
"PLCL1",1,"turquoise"
"CLN8",1,"turquoise"
"DCAKD",7,"black"
"PTPN11",6,"red"
"TMSB4Y",1,"turquoise"
"LRCH3",2,"blue"
"BLNK",2,"blue"
"CHRNA6",1,"turquoise"
"BMX",1,"turquoise"
"TCF4",6,"red"
"CAPN11",1,"turquoise"
"RAB9A",1,"turquoise"
"DOT1L",1,"turquoise"
"SYCP1",1,"turquoise"
"PLCXD1",4,"yellow"
"PRAMEF1",1,"turquoise"
"ST14",1,"turquoise"
"CBFA2T3",1,"turquoise"
"ZNF404",1,"turquoise"
"PLA2G12A",1,"turquoise"
"MFSD7",1,"turquoise"
"MTFMT",1,"turquoise"
"SPCS1",4,"yellow"
"SDCCAG3",2,"blue"
"CHUK",6,"red"
"KIAA2018",1,"turquoise"
"SLC35D1",1,"turquoise"
"ATP8A2",1,"turquoise"
"MFNG",4,"yellow"
"HIRIP3",7,"black"
"FAM81B",1,"turquoise"
"ELF1",6,"red"
"TAF1A",1,"turquoise"
"SLC6A9",1,"turquoise"
"TIAM1",1,"turquoise"
"CALM1",1,"turquoise"
"ANKRD39",2,"blue"
"SLC25A4",4,"yellow"
"TMEM101",5,"green"
"FFAR3",1,"turquoise"
"ITGA7",1,"turquoise"
"ABHD2",1,"turquoise"
"DHX35",1,"turquoise"
"DPF3",1,"turquoise"
"JMY",1,"turquoise"
"DNAJC6",1,"turquoise"
"CDC42EP4",2,"blue"
"CST4",1,"turquoise"
"ADRM1",0,"grey"
"CDADC1",1,"turquoise"
"ATXN3",1,"turquoise"
"RGR",1,"turquoise"
"SMG5",0,"grey"
"BRD4",1,"turquoise"
"LOC441242",1,"turquoise"
"TTC1",2,"blue"
"RHBDD1",1,"turquoise"
"UGDH",2,"blue"
"IQCD",1,"turquoise"
"ZNF660",1,"turquoise"
"PARVB",1,"turquoise"
"CCDC17",1,"turquoise"
"SDC2",1,"turquoise"
"SCAND1",2,"blue"
"ARCN1",2,"blue"
"LHX1",1,"turquoise"
"ADAM21",1,"turquoise"
"TMED9",1,"turquoise"
"LCN10",1,"turquoise"
"LRBA",2,"blue"
"RCC1",1,"turquoise"
"SLC19A2",1,"turquoise"
"EHD4",2,"blue"
"SERAC1",2,"blue"
"HPCAL4",4,"yellow"
"STX16",2,"blue"
"USPL1",1,"turquoise"
"FAM126A",1,"turquoise"
"SESN2",1,"turquoise"
"SRF",2,"blue"
"SERTAD3",1,"turquoise"
"RERE",3,"brown"
"SNAI3",1,"turquoise"
"COX10",7,"black"
"PLP2",4,"yellow"
"P2RY14",1,"turquoise"
"MSH2",2,"blue"
"GTPBP4",1,"turquoise"
"PHC3",1,"turquoise"
"KIAA1143",1,"turquoise"
"UGT3A1",1,"turquoise"
"ZNF85",2,"blue"
"AMD1",6,"red"
"AQP5",1,"turquoise"
"ZNF540",4,"yellow"
"SEMA5A",1,"turquoise"
"PPIC",1,"turquoise"
"SURF1",2,"blue"
"HAND2",1,"turquoise"
"DBNDD2",1,"turquoise"
"ENPP7",1,"turquoise"
"OR51I1",1,"turquoise"
"TRPM1",1,"turquoise"
"SET",1,"turquoise"
"ZC3H3",2,"blue"
"RAB5A",2,"blue"
"RASEF",1,"turquoise"
"BZW1",2,"blue"
"API5",1,"turquoise"
"TINAGL1",1,"turquoise"
"ZNF20",3,"brown"
"HLA-DPB2",1,"turquoise"
"ELOF1",1,"turquoise"
